iter	RMSE
198	3.440863041
199	3.43826545
200	3.436493316
201	3.433985877
202	3.431712129
203	3.42985352
204	3.427292037
205	3.424959651
206	3.423558343
207	3.42138258
208	3.419702727
209	3.416539033
210	3.414297236
211	3.411237106
212	3.407829891
213	3.40437877
214	3.402606072
215	3.40033897
216	3.398879819
217	3.394812884
218	3.393115585
219	3.390257538
220	3.388867288
221	3.387162575
222	3.385987728
223	3.384393868
224	3.382384681
225	3.377517012
226	3.376484596
227	3.373584954
228	3.371329886
229	3.367691829
230	3.366192263
231	3.363726858
232	3.363087619
233	3.360318118
234	3.357698182
235	3.353419859
236	3.350362734
237	3.347831873
238	3.345873226
239	3.344234674
240	3.343583481
241	3.343098875
242	3.339260933
243	3.338166323
244	3.334917118
245	3.33284177
246	3.330305791
247	3.328465353
248	3.325771716
249	3.325173926
250	3.324335654
251	3.322069657
252	3.321165336
253	3.317355314
254	3.312788287
255	3.31013149
256	3.308789476
257	3.308259132
258	3.307851697
259	3.307016396
260	3.304541199
261	3.301209672
262	3.299348067
263	3.298339471
264	3.295635276
265	3.291474714
266	3.288609805
267	3.285804819
268	3.283290205
269	3.280159619
270	3.279647409
271	3.278781475
272	3.276473889
273	3.275029755
274	3.271964818
275	3.269556549
276	3.269100658
277	3.268692447
278	3.266470711
279	3.265593213
280	3.263709898
281	3.261615205
282	3.260057524
283	3.258313898
284	3.255316514
285	3.251761676
286	3.249760316
287	3.248308978
288	3.242807361
289	3.240561433
290	3.238244163
291	3.235116115
292	3.231327777
293	3.224547644
294	3.224141743
295	3.219436026
296	3.216607106
297	3.216177335
298	3.215626305
299	3.214887967
300	3.212745342
301	3.212459324
302	3.209902744
303	3.203171235
304	3.202823283
305	3.200245172
306	3.199708451
307	3.197887399
308	3.196379859
309	3.19298354
310	3.192749522
311	3.190283321
312	3.188532667
313	3.184022062
314	3.183415731
315	3.182348459
316	3.177472074
317	3.176014025
318	3.175555783
319	3.174755455
320	3.174256803
321	3.173002449
322	3.168945476
323	3.163835663
324	3.163418691
325	3.160014653
326	3.159698655
327	3.15945455
328	3.155841414
329	3.15288025
330	3.150913088
331	3.147901071
332	3.146317836
333	3.145795133
334	3.143981796
335	3.139790634
336	3.137920216
337	3.137529001
338	3.137173782
339	3.136925212
340	3.131807966
341	3.129978421
342	3.127903686
343	3.126244522
344	3.12416845
345	3.120481429
346	3.120126226
347	3.115722834
348	3.112581034
349	3.110591325
350	3.107831213
351	3.104236136
352	3.102364328
353	3.100272802
354	3.098365452
355	3.095580684
356	3.093017115
357	3.091850006
358	3.087166973
359	3.085627824
360	3.085287304
361	3.082614172
362	3.080818897
363	3.079882084
364	3.074630805
365	3.072637641
366	3.070738102
367	3.069229895
368	3.069006677
369	3.06575862
370	3.064625398
371	3.062201647
372	3.060772032
373	3.059399902
374	3.056653825
375	3.056222421
376	3.055960609
377	3.054447648
378	3.052089837
379	3.049079133
380	3.044777088
381	3.042389565
382	3.037777462
383	3.03389677
384	3.031457382
385	3.027121802
386	3.025229482
387	3.024913396
388	3.024745208
389	3.024515247
390	3.023400235
391	3.02003189
392	3.015785734
393	3.014137465
394	3.012194017
395	3.011910552
396	3.008656871
397	3.007446851
398	3.00280508
399	3.000679237
400	2.998958908
401	2.997050167
402	2.993985827
403	2.992349409
404	2.990304633
405	2.98675846
406	2.98437399
407	2.983355332
408	2.980831078
409	2.978545916
410	2.976762983
411	2.974868245
412	2.973251203
413	2.970089813
414	2.969477336
415	2.968017279
416	2.967854743
417	2.96679465
418	2.964962198
419	2.964774744
420	2.963716052
421	2.963212441
422	2.962559874
423	2.961870165
424	2.959591861
425	2.959347369
426	2.959192169
427	2.956051991
428	2.953773797
429	2.950314338
430	2.947782428
431	2.945940918
432	2.943964087
433	2.941631567
434	2.940461122
435	2.939694071
436	2.939542047
437	2.939384691
438	2.937857663
439	2.937688812
440	2.933276595
441	2.930355859
442	2.929156249
443	2.927961748
444	2.926444126
445	2.925029344
446	2.92212547
447	2.920235809
448	2.915829384
449	2.912599106
450	2.91095727
451	2.909361171
452	2.909075689
453	2.907115016
454	2.905833936
455	2.902719591
456	2.900863333
457	2.899571574
458	2.89578493
459	2.895656631
460	2.893773938
461	2.891524574
462	2.889654573
463	2.888216589
464	2.888044105
465	2.883998729
466	2.883827371
467	2.881971939
468	2.879937112
469	2.879817126
470	2.877250306
471	2.875803446
472	2.874773368
473	2.872337412
474	2.86902096
475	2.865606302
476	2.862537534
477	2.860098507
478	2.859091838
479	2.857220236
480	2.855824604
481	2.853842949
482	2.85214784
483	2.85018491
484	2.847178246
485	2.842629177
486	2.842425812
487	2.841434022
488	2.840390302
489	2.840100131
490	2.837574787
491	2.836002387
492	2.83556624
493	2.833810078
494	2.831912403
495	2.828723933
496	2.82852994
497	2.827427541
498	2.825212055
499	2.822624261
500	2.820834152
501	2.819059116
502	2.817778853
503	2.816244861
504	2.81419413
505	2.814090593
506	2.811479296
507	2.809459799
508	2.808662047
509	2.805835712
510	2.804522382
511	2.803967304
512	2.801347335
513	2.797114115
514	2.796912725
515	2.794371884
516	2.793487214
517	2.793336741
518	2.790843236
519	2.788853892
520	2.788762898
521	2.786188845
522	2.783293066
523	2.781973517
524	2.780441102
525	2.777300479
526	2.776162808
527	2.774835047
528	2.773642769
529	2.773497875
530	2.772006774
531	2.769304609
532	2.767615261
533	2.766559818
534	2.765752062
535	2.765397163
536	2.762501394
537	2.760201528
538	2.757968718
539	2.756592973
540	2.755693049
541	2.754374318
542	2.754222962
543	2.752463017
544	2.750092168
545	2.749119411
546	2.746679367
547	2.745339276
548	2.742568968
549	2.741265097
550	2.740305526
551	2.738859868
552	2.738510864
553	2.735096233
554	2.733858339
555	2.732760731
556	2.731958996
557	2.729160053
558	2.729023142
559	2.726651454
560	2.725553812
561	2.725287434
562	2.72444571
563	2.722804157
564	2.721197492
565	2.718052145
566	2.717116703
567	2.713480312
568	2.712530013
569	2.710836001
570	2.707966038
571	2.706013165
572	2.704157906
573	2.701966765
574	2.699631657
575	2.699552449
576	2.696405963
577	2.693486777
578	2.69227182
579	2.68724993
580	2.686099251
581	2.685566328
582	2.682366516
583	2.679394269
584	2.679287749
585	2.678443424
586	2.677159972
587	2.677082612
588	2.676887996
589	2.676781798
590	2.673080395
591	2.670894682
592	2.669247872
593	2.668730468
594	2.666113415
595	2.663965561
596	2.660893532
597	2.660049288
598	2.659775517
599	2.65727355
600	2.654838178
601	2.654369349
602	2.652084138
603	2.65179605
604	2.650509929
605	2.64958172
606	2.647756567
607	2.646064947
608	2.64507816
609	2.643131635
610	2.641833802
611	2.640799124
612	2.637704134
613	2.637615545
614	2.636643076
615	2.633994803
616	2.631811132
617	2.631313782
618	2.629735147
619	2.628545451
620	2.625701847
621	2.623704529
622	2.62222019
623	2.620457209
624	2.617977534
625	2.617868904
626	2.617362739
627	2.616596373
628	2.616398539
629	2.614748342
630	2.612682359
631	2.611350288
632	2.609402016
633	2.609341593
634	2.608137156
635	2.607467702
636	2.605108472
637	2.602434696
638	2.599247478
639	2.597947085
640	2.59521723
641	2.59229127
642	2.592235207
643	2.590655626
644	2.589385109
645	2.58744574
646	2.586496589
647	2.58574472
648	2.583835947
649	2.581154165
650	2.580074101
651	2.578841684
652	2.577584998
653	2.575481838
654	2.574693334
655	2.573834327
656	2.571694524
657	2.569381194
658	2.566661149
659	2.564889177
660	2.563290741
661	2.563230103
662	2.562546626
663	2.561732895
664	2.559182526
665	2.558476538
666	2.557024543
667	2.556361142
668	2.555850112
669	2.553442659
670	2.550807744
671	2.548221991
672	2.545514185
673	2.544130364
674	2.54152705
675	2.539568459
676	2.53846276
677	2.537246837
678	2.537137601
679	2.536904243
680	2.535877459
681	2.534934031
682	2.532700182
683	2.531966126
684	2.530771828
685	2.528851634
686	2.526970049
687	2.526468056
688	2.525749365
689	2.523079182
690	2.520127251
691	2.517537005
692	2.517288867
693	2.516532795
694	2.514996175
695	2.514258205
696	2.512779459
697	2.512118845
698	2.510095959
699	2.509276947
700	2.507743324
701	2.505775145
702	2.503813432
703	2.501808225
704	2.501723931
705	2.49973516
706	2.497518382
707	2.496928054
708	2.495398297
709	2.493486695
710	2.49311407
711	2.493029802
712	2.492045889
713	2.491576134
714	2.490613634
715	2.489441736
716	2.488958422
717	2.485810021
718	2.48455277
719	2.483530273
720	2.481571389
721	2.481407466
722	2.479208193
723	2.475863188
724	2.474575252
725	2.473899766
726	2.473823073
727	2.472429578
728	2.471208706
729	2.469339834
730	2.468333547
731	2.466970085
732	2.466235038
733	2.464910229
734	2.46191196
735	2.46026591
736	2.458441278
737	2.45736231
738	2.45511033
739	2.455070442
740	2.454739543
741	2.454690018
742	2.453580321
743	2.453531914
744	2.453461322
745	2.451657903
746	2.451425784
747	2.449489674
748	2.44809878
749	2.447395825
750	2.446203936
751	2.444492242
752	2.444172043
753	2.4428951
754	2.441401637
755	2.438850466
756	2.437806018
757	2.436361821
758	2.435215975
759	2.434046322
760	2.43372843
761	2.432281298
762	2.431442
763	2.430440528
764	2.427863175
765	2.426424484
766	2.423972636
767	2.422410691
768	2.421031899
769	2.420421327
770	2.418468247
771	2.417053889
772	2.416260624
773	2.415533657
774	2.415459442
775	2.413604593
776	2.412001203
777	2.410337445
778	2.408456136
779	2.4073366
780	2.405056069
781	2.403582836
782	2.401871404
783	2.401751975
784	2.400938964
785	2.399685251
786	2.398919517
787	2.397667636
788	2.395985023
789	2.394340232
790	2.392450647
791	2.390176795
792	2.389569271
793	2.388613601
794	2.388331674
795	2.387600516
796	2.386516415
797	2.38506973
798	2.382256584
799	2.379641457
800	2.377585743
801	2.376657933
802	2.375430403
803	2.374318355
804	2.373696913
805	2.373455369
806	2.372852336
807	2.371023396
808	2.369387118
809	2.367453386
810	2.366763503
811	2.366405645
812	2.365548683
813	2.364782217
814	2.363945244
815	2.363665498
816	2.362807192
817	2.362338187
818	2.360762193
819	2.357551962
820	2.356887706
821	2.356842614
822	2.355411969
823	2.353879503
824	2.353117878
825	2.351918279
826	2.350787487
827	2.349440809
828	2.349379792
829	2.347211455
830	2.345673746
831	2.345136346
832	2.342926565
833	2.34275587
834	2.342423045
835	2.341861936
836	2.340901461
837	2.339813948
838	2.337549084
839	2.336512972
840	2.334160379
841	2.332470251
842	2.332078345
843	2.329774904
844	2.328632881
845	2.32840237
846	2.32788371
847	2.327260443
848	2.326626228
849	2.324717991
850	2.322937354
851	2.321699699
852	2.321201333
853	2.31977376
854	2.318532447
855	2.317780166
856	2.317453959
857	2.316000378
858	2.315857299
859	2.315060322
860	2.314996188
861	2.314239279
862	2.312786343
863	2.311997315
864	2.310190795
865	2.309120986
866	2.307845802
867	2.306549351
868	2.30643455
869	2.305517432
870	2.304744044
871	2.303276931
872	2.303122986
873	2.301877043
874	2.300255681
875	2.3002221
876	2.298752416
877	2.297107503
878	2.297076907
879	2.296190867
880	2.294070033
881	2.293144389
882	2.292466233
883	2.292434328
884	2.290005369
885	2.289027949
886	2.288301084
887	2.287338323
888	2.285788578
889	2.283915321
890	2.283404427
891	2.28299889
892	2.282940723
893	2.280538436
894	2.280366806
895	2.278036784
896	2.276884453
897	2.276839612
898	2.275691264
899	2.274141369
900	2.273053133
901	2.272540571
902	2.270677165
903	2.26864103
904	2.266973618
905	2.266119164
906	2.264686299
907	2.263824667
908	2.261844472
909	2.261586494
910	2.259307275
911	2.259266741
912	2.25722403
913	2.255016021
914	2.2537676
915	2.251544007
916	2.250044105
917	2.248747209
918	2.24660451
919	2.243947989
920	2.2422463
921	2.24138814
922	2.239319267
923	2.238866618
924	2.238461169
925	2.237861447
926	2.237211527
927	2.236581251
928	2.236442693
929	2.235718469
930	2.23354324
931	2.233309107
932	2.231493884
933	2.22937143
934	2.229310282
935	2.228342315
936	2.227248722
937	2.226401611
938	2.225092015
939	2.224465862
940	2.223657066
941	2.222682875
942	2.220657194
943	2.218672186
944	2.217136942
945	2.216018215
946	2.2136806
947	2.21084439
948	2.210524066
949	2.210159355
950	2.209234104
951	2.207651083
952	2.206131946
953	2.20519695
954	2.20423518
955	2.202774672
956	2.20158443
957	2.20155202
958	2.200684342
959	2.200111744
960	2.198366407
961	2.197801179
962	2.197487099
963	2.194338931
964	2.193471019
965	2.193385154
966	2.192418374
967	2.191599336
968	2.191106184
969	2.190996749
970	2.190540306
971	2.190107303
972	2.188524385
973	2.185828959
974	2.184888721
975	2.182991159
976	2.181547481
977	2.181290108
978	2.1812073
979	2.180470736
980	2.179161553
981	2.178474412
982	2.176547649
983	2.17482484
984	2.173685774
985	2.172823732
986	2.171908628
987	2.170124888
988	2.169218798
989	2.168815637
990	2.168520985
991	2.167658625
992	2.165070164
993	2.163380851
994	2.163122367
995	2.161514956
996	2.160646756
997	2.15986321
998	2.159620275
999	2.158870762
